"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"03/02/2021";"1200";"22,3";"79,0";"888,5";"0,0";"0,0";"7,5";"";"";"20,3";"0,0"
"03/02/2021";"1800";"26,5";"61,0";"885,1";"5,1";"230,0";"7,5";"";"";"";""
"04/02/2021";"0000";"18,8";"93,0";"887,3";"0,0";"0,0";"8,8";"6,70";"28,8";"";""
"04/02/2021";"1200";"23,1";"67,0";"888,1";"1,0";"230,0";"8,8";"";"";"17,2";"15,7"
"04/02/2021";"1800";"27,5";"53,0";"884,1";"0,0";"0,0";"7,5";"";"";"";""
"05/02/2021";"0000";"20,0";"94,0";"885,3";"1,0";"230,0";"10,0";"6,60";"28,1";"";""
"05/02/2021";"1200";"21,7";"90,0";"884,9";"1,0";"320,0";"8,8";"";"";"19,3";"70,2"
"05/02/2021";"1800";"26,2";"64,0";"881,8";"1,0";"320,0";"6,3";"";"";"";""
"06/02/2021";"0000";"22,7";"82,0";"883,7";"3,1";"320,0";"5,0";"0,00";"23,0";"";""
"06/02/2021";"1200";"21,1";"92,0";"884,9";"0,0";"0,0";"10,0";"";"";"20,1";"1,4"
"06/02/2021";"1800";"19,4";"94,0";"883,1";"6,2";"50,0";"10,0";"";"";"";""
"07/02/2021";"0000";"19,3";"90,0";"885,4";"0,0";"0,0";"10,0";"2,70";"24,9";"";""
"07/02/2021";"1200";"19,8";"91,0";"885,3";"4,1";"320,0";"10,0";"";"";"18,5";"28,1"
"07/02/2021";"1800";"20,2";"90,0";"883,1";"5,1";"320,0";"10,0";"";"";"";""
"08/02/2021";"0000";"19,2";"97,0";"883,8";"3,1";"320,0";"10,0";"3,90";"24,9";"";""
"08/02/2021";"1200";"20,0";"89,0";"884,9";"1,0";"320,0";"10,0";"";"";"17,9";"20,6"
"08/02/2021";"1800";"23,8";"67,0";"882,9";"3,1";"320,0";"6,3";"";"";"";""
"09/02/2021";"0000";"18,4";"93,0";"883,7";"1,0";"320,0";"6,3";"4,60";"25,3";"";""
"09/02/2021";"1200";"18,0";"95,0";"886,3";"0,0";"0,0";"10,0";"";"";"16,8";"29,0"
"09/02/2021";"1800";"24,3";"61,0";"883,5";"0,0";"0,0";"7,5";"";"";"";""
"10/02/2021";"0000";"20,3";"90,0";"885,1";"0,0";"0,0";"8,8";"7,90";"28,4";"";""
"10/02/2021";"1200";"22,9";"72,0";"886,7";"1,0";"50,0";"3,8";"";"";"16,3";"0,0"
"10/02/2021";"1800";"27,8";"50,0";"883,9";"3,1";"140,0";"5,0";"";"";"";""
"11/02/2021";"0000";"22,1";"79,0";"885,8";"3,1";"50,0";"8,8";"5,90";"25,9";"";""
"11/02/2021";"1200";"22,3";"79,0";"886,5";"1,0";"50,0";"7,5";"";"";"19,2";"0,2"
"11/02/2021";"1800";"23,3";"73,0";"884,1";"3,1";"320,0";"8,8";"";"";"";""
"12/02/2021";"0000";"20,3";"89,0";"885,9";"0,0";"0,0";"8,8";"0,00";"23,7";"";""
"12/02/2021";"1200";"20,2";"92,0";"886,7";"0,0";"0,0";"10,0";"";"";"18,7";"14,0"
"12/02/2021";"1800";"20,1";"92,0";"885,8";"0,0";"0,0";"10,0";"";"";"";""
"13/02/2021";"0000";"17,8";"97,0";"887,7";"0,0";"0,0";"10,0";"0,70";"23,9";"";""
"13/02/2021";"1200";"21,8";"77,0";"887,7";"3,1";"50,0";"8,8";"";"";"17,8";"24,1"
"13/02/2021";"1800";"21,1";"85,0";"885,1";"3,1";"230,0";"10,0";"";"";"";""
"14/02/2021";"0000";"18,4";"99,0";"885,8";"0,0";"0,0";"10,0";"2,60";"26,3";"";""
"14/02/2021";"1200";"20,7";"88,0";"887,8";"0,0";"0,0";"10,0";"";"";"17,7";"23,2"
"14/02/2021";"1800";"25,3";"65,0";"883,9";"3,1";"50,0";"8,8";"";"";"";""
"15/02/2021";"0000";"19,4";"94,0";"885,1";"0,0";"0,0";"10,0";"5,80";"27,9";"";""
"15/02/2021";"1200";"21,1";"85,0";"885,9";"0,0";"0,0";"8,8";"";"";"18,4";"26,3"
"15/02/2021";"1800";"26,3";"54,0";"883,1";"5,1";"320,0";"8,8";"";"";"";""
"16/02/2021";"0000";"20,1";"89,0";"884,2";"0,0";"0,0";"7,5";"2,40";"27,1";"";""
"16/02/2021";"1200";"20,6";"89,0";"885,7";"1,0";"320,0";"10,0";"";"";"19,1";"0,0"
"16/02/2021";"1800";"26,2";"61,0";"882,9";"1,0";"180,0";"8,8";"";"";"";""
"17/02/2021";"0000";"18,9";"95,0";"883,4";"0,0";"0,0";"10,0";"2,20";"26,6";"";""
"17/02/2021";"1200";"21,3";"87,0";"883,5";"0,0";"0,0";"7,5";"";"";"17,8";"70,2"
"17/02/2021";"1800";"23,8";"72,0";"881,7";"0,0";"0,0";"8,8";"";"";"";""
"18/02/2021";"0000";"19,4";"96,0";"883,5";"0,0";"0,0";"10,0";"1,40";"25,5";"";""
"18/02/2021";"1200";"21,2";"89,0";"884,7";"3,1";"320,0";"10,0";"";"";"19,0";"13,7"
"18/02/2021";"1800";"22,5";"88,0";"882,6";"1,0";"50,0";"8,8";"";"";"";""
"19/02/2021";"0000";"20,4";"91,0";"883,4";"0,0";"0,0";"8,8";"7,70";"27,3";"";""
"19/02/2021";"1200";"21,4";"84,0";"885,7";"0,0";"0,0";"10,0";"";"";"19,7";"1,2"
