"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"17/02/2021";"1800";"27,4";"56,0";"899,6";"3,1";"50,0";"7,5";"";"";"";""
"18/02/2021";"0000";"22,0";"77,0";"900,6";"3,1";"180,0";"7,5";"0,70";"27,2";"";""
"18/02/2021";"1200";"21,2";"87,0";"903,4";"3,1";"360,0";"10,0";"";"";"19,7";"3,4"
"18/02/2021";"1800";"27,2";"66,0";"900,9";"3,1";"360,0";"8,8";"";"";"";""
"19/02/2021";"0000";"21,0";"87,0";"903,4";"3,1";"320,0";"10,0";"1,40";"25,8";"";""
"19/02/2021";"1200";"20,8";"88,0";"904,0";"3,1";"270,0";"10,0";"";"";"19,1";"6,8"
"19/02/2021";"1800";"25,4";"62,0";"901,4";"3,1";"320,0";"8,8";"";"";"";""
"20/02/2021";"0000";"20,6";"96,0";"903,0";"2,1";"50,0";"10,0";"4,70";"26,6";"";""
"20/02/2021";"1200";"19,4";"93,0";"904,8";"3,1";"140,0";"10,0";"";"";"18,5";"53,0"
"20/02/2021";"1800";"26,2";"60,0";"901,0";"3,1";"140,0";"6,3";"";"";"";""
"21/02/2021";"0000";"21,6";"82,0";"902,8";"0,0";"0,0";"0,0";"9,20";"27,6";"";""
"21/02/2021";"1200";"19,4";"81,0";"904,9";"5,1";"140,0";"7,5";"";"";"16,9";"0,0"
"21/02/2021";"1800";"27,0";"55,0";"901,2";"4,1";"140,0";"5,0";"";"";"";""
"22/02/2021";"0000";"21,8";"71,0";"904,0";"0,0";"0,0";"0,0";"4,50";"27,6";"";""
"22/02/2021";"1200";"19,8";"82,0";"904,8";"3,1";"140,0";"10,0";"";"";"17,9";"0,0"
"22/02/2021";"1800";"27,2";"62,0";"900,8";"3,1";"140,0";"6,3";"";"";"";""
"23/02/2021";"0000";"21,6";"74,0";"903,0";"2,1";"140,0";"6,3";"7,20";"28,6";"";""
"23/02/2021";"1200";"20,8";"83,0";"904,6";"3,1";"140,0";"7,5";"";"";"18,9";"0,0"
"23/02/2021";"1800";"28,2";"44,0";"900,3";"3,1";"140,0";"5,0";"";"";"";""
"24/02/2021";"0000";"23,2";"68,0";"902,6";"0,0";"0,0";"0,0";"8,20";"29,2";"";""
"24/02/2021";"1200";"22,6";"67,0";"904,9";"3,1";"140,0";"6,3";"";"";"18,3";"0,0"
"24/02/2021";"1800";"28,8";"46,0";"900,6";"3,1";"140,0";"6,3";"";"";"";""
"25/02/2021";"0000";"23,2";"71,0";"902,4";"3,1";"140,0";"3,8";"7,00";"28,6";"";""
"25/02/2021";"1200";"20,2";"87,0";"904,4";"3,1";"140,0";"10,0";"";"";"18,7";"0,0"
"25/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"26/02/2021";"0000";"";"37,0";"901,4";"0,0";"0,0";"2,5";"6,10";"28,6";"";""
"26/02/2021";"1200";"20,4";"75,0";"902,6";"3,1";"140,0";"7,5";"";"";"17,1";"0,0"
"26/02/2021";"1800";"28,2";"42,0";"900,5";"3,1";"140,0";"5,0";"";"";"";""
"27/02/2021";"0000";"22,2";"64,0";"901,5";"0,0";"0,0";"2,5";"7,10";"29,4";"";""
"27/02/2021";"1200";"20,6";"80,0";"903,4";"3,1";"140,0";"8,8";"";"";"18,3";"0,0"
"27/02/2021";"1800";"29,0";"40,0";"901,1";"3,1";"140,0";"6,3";"";"";"";""
"28/02/2021";"0000";"21,8";"80,0";"901,8";"5,1";"140,0";"6,3";"4,50";"29,2";"";""
"28/02/2021";"1200";"21,0";"81,0";"902,7";"5,1";"140,0";"7,5";"";"";"17,9";"0,3"
"28/02/2021";"1800";"28,8";"41,0";"899,2";"3,1";"140,0";"5,0";"";"";"";""
"01/03/2021";"0000";"20,8";"81,0";"900,7";"3,1";"140,0";"6,3";"4,50";"24,2";"";""
"01/03/2021";"1200";"20,4";"79,0";"901,5";"5,1";"140,0";"7,5";"";"";"18,1";"3,2"
"01/03/2021";"1800";"23,8";"70,0";"900,1";"3,1";"140,0";"7,5";"";"";"";""
"02/03/2021";"0000";"18,8";"94,0";"901,2";"3,1";"140,0";"10,0";"8,30";"27,4";"";""
"02/03/2021";"1200";"20,2";"79,0";"903,3";"5,1";"140,0";"7,5";"";"";"17,9";"1,8"
