"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"03/02/2021";"1200";"27,1";"70,0";"951,9";"0,0";"0,0";"5,0";"";"";"22,6";"0,0"
"03/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/02/2021";"0000";"24,8";"72,0";"950,0";"0,0";"0,0";"10,0";"3,10";"30,1";"";""
"04/02/2021";"1200";"26,5";"77,0";"950,7";"1,0";"320,0";"10,0";"";"";"22,0";"0,3"
"04/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"05/02/2021";"0000";"24,3";"83,0";"948,6";"2,0";"230,0";"9,0";"12,00";"28,2";"";""
"05/02/2021";"1200";"22,3";"72,0";"948,6";"2,0";"140,0";"1,0";"";"";"20,0";"0,0"
"05/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"06/02/2021";"0000";"23,6";"58,0";"946,8";"2,0";"230,0";"0,0";"11,90";"28,2";"";""
"06/02/2021";"1200";"21,2";"65,0";"948,4";"2,0";"140,0";"0,0";"";"";"17,8";"0,0"
"06/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"07/02/2021";"0000";"22,9";"71,0";"948,3";"0,0";"0,0";"0,0";"10,60";"28,9";"";""
"07/02/2021";"1200";"23,9";"66,0";"951,0";"2,0";"140,0";"3,0";"";"";"19,3";"0,0"
"07/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"08/02/2021";"0000";"24,4";"63,0";"949,0";"1,0";"140,0";"0,0";"12,10";"29,6";"";""
"08/02/2021";"1200";"22,9";"58,0";"952,0";"1,0";"90,0";"0,0";"";"";"18,4";"0,0"
"08/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/02/2021";"0000";"24,4";"64,0";"949,4";"0,0";"0,0";"0,0";"9,50";"28,5";"";""
"09/02/2021";"1200";"23,8";"58,0";"952,4";"2,0";"140,0";"5,0";"";"";"18,3";"0,0"
"09/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
